"Indiquez le nom de votre structure";"Ce formulaire est destiné à enregistrer votre jeu au sein de l'espace Indépendant. Les informations textes et images de votre jeu seront exploitées dans des documents de communication.";"Nom du jeu / projet présenté";"Description de votre jeu : Quel type ? Nombre de joueurs ? Quelle ambiance ?  (environ 500 caractères maximum)";"Sur quelle plateforme(s)";"Si autre précisez :";"Un site web ?";"Une vidéo ?";"Screenshot 1";"Screenshot 2";"Screenshot 3";"Jaquette";"Date de sortie du jeu (effective, prévue ou estimée) (jj/mm/aaaa)";"Quel matériel amenez-vous ? (nombre d'écran, PC, manettes ...)";"De quel matériel auriez-vous idéalement besoin ?";"Commentaire";"Traité";"Date Modification";"";"";""
"AURORA STUDIO";"J'ai compris";"Ilios ~ Betrayal of Gods";"Ilios est un jeu d’action-aventure en 2D HD. S’inspirant de titres encensés par la critique telles que les productions du studio Vanillaware (Dragon’s Crown ou encore Muramasa), des titres de chez Platinum Games (Bayonneta, Metal Gear Rising) ou encore de références plus ancienne telles que Megaman ou Castlevania, la volonté de cette équipe est d’offrir une aventure qui sort des canons actuels en proposant une narration poussée et un gameplay nerveux.";"Windows,Console";"";"www.ilios-thegame.com";"https://www.youtube.com/watch?v=2Tj34TqUsTE";"http://files.intrazik.com/231/aurora-studio-screenshot-1-3133-493-20150427-100546.png";"http://files.intrazik.com/231/aurora-studio-screenshot-2-3371-493-20150427-100546.png";"http://files.intrazik.com/231/aurora-studio-screenshot-3-3373-493-20150427-100546.png";"http://files.intrazik.com/231/aurora-studio-jaquette-3375-493-20150427-100547.jpg";"01/03/2017";"- 1 Ordinateur (Tour ou laptop)
 - 2 Ecrans
 - 1 Cintiq
 - 1 Kakemono
 - 1 Manette
 - 1 PsVita
 - 1 Multiprise";"un morceau de comptoir ou une table sachant que l'on va faire de la création et de l'intégration en live";"export";"oui";"2015-04-27 23:55:50";"";"";""
"TETEDEBUG";"J'ai compris";"Crowd Smashers";"Crowd Smashers est un jeu d'affrontement en local, dans la lignée de windjammers.
 Incarnez un mage dont l'objectif est de massacrer le public adverse.";"Windows,OSX,Linux";"";"www.CrowdSmashers.com";"https://www.dropbox.com/s/6gx2719yzzbyi39/Crowd%20Smashers%20Trailer%20Stunfest%202015.mp4?dl=0";"http://files.intrazik.com/231/tetedebug-screenshot-1-3133-493-20150427-021708.jpg";"http://files.intrazik.com/231/tetedebug-screenshot-2-3371-493-20150427-021708.jpg";"http://files.intrazik.com/231/tetedebug-screenshot-3-3373-493-20150427-021708.jpg";"http://files.intrazik.com/231/tetedebug-jaquette-3375-493-20150427-021709.jpg";"estimé septembre 2015";"tout dépend de l'installations possible, si canapé possible j'amène l'écran de télé et 2 manettes 360";"Ordinateur config de moyenne, (si possible)  gamme canapé et table pour écran.";"";"non";"2015-04-27 02:17:07";"";"";""
"HAUNTED TIE";"Sélectionner";"Domiverse";"Domiverse is The Ultimate Couch Game!
 Vous avez 3 amis? Défiez les à Domiverse et prouvez votre talent de gamer!
 Choisissez parmi 8 héros aux capacités aussi surprenantes que variées, et remportez le tournoi Domiverse.
 Vous serez instantanément plongé dans son univers plein de limaces et de chats via un gameplay intuitif et dynamique où chaque attaque est fatale.
 Et si vous n'avez pas 3 amis, vous pouvez quand même jouer à 2 ou 3.";"Windows,OSX,Linux,Console";"";"http://www.domiverse.be/";"https://youtu.be/jIEf4VkhNwY";"http://files.intrazik.com/231/haunted-tie-screenshot-1-3133-493-20150426-225812.png";"http://files.intrazik.com/231/haunted-tie-screenshot-2-3371-493-20150426-225812.png";"http://files.intrazik.com/231/haunted-tie-screenshot-3-3373-493-20150426-225812.png";"http://files.intrazik.com/231/haunted-tie-jaquette-3375-493-20150426-225813.png";"01/10/2015";"Une télévision, un écran plus petit, 2 PC, 4 manettes snes, poster, stand-up, des chips et saucisses apéritifs.";"Une table normale, une table basse, un canapé (4 personnes), un mur pour accrocher des décorations.";"";"non";"2015-04-26 22:58:12";"";"";""
"BULO STUDIO";"J'ai compris";"SHMUP Creator";"Le SHMUP Creator est un outil de création de jeux vidéo qui permet à tout le monde de réaliser son propre shoot' em up, sans aucune programmation.
 Puissant, simple d'utilisation et aussi fun qu'un jeu, il donne la possibilité d'exprimer sa créativité, puis de partager ses créations avec ses amis ou le grand public.
 Quelques unes des specs/features :
 . possibilité de créer des jeux en 3D ou en 2D,
 . des shmups horizontaux ou verticaux,
 . moteur 3D sophistiqué : ombres temps réel, shaders, particules, post FX…
 . système de scoring, medailles, jauges…
 . éditeur de patterns de bullets,
 . des packs d'assets, pour pouvoir démarrer tout de suite
 . Et tant d’autres…";"Windows";"";"http://bulostudio.com/";"";"http://files.intrazik.com/231/bulo-studio-screenshot-1-3133-493-20150426-222008.png";"http://files.intrazik.com/231/bulo-studio-screenshot-2-3371-493-20150426-222008.png";"http://files.intrazik.com/231/bulo-studio-screenshot-3-3373-493-20150426-222009.png";"http://files.intrazik.com/231/bulo-studio-jaquette-3375-493-20150426-222010.png";"estimée : fin 2015";".un PC (tour)
 .un portable
 .une manette
 .une bannière verticale (160x70cm)";".deux écrans
 .une manette 360
 .deux petits meubles hauts pour poser les écrans
 .de quoi s'assoir pour poser le portable (table haute ou basse, et canapé ou plusieurs chaises adaptées à la table)";"";"non";"2015-04-26 22:20:08";"";"";""
"SPLASHTEAM";"J'ai compris";"Splasher";"Splasher est un jeu de plateforme solo, en 2D, très orienté arcade & action.
 Pour progresser, le personnage du joueur dispose d'un canon à fluides surpuissants et illimités. Alors que l'eau constitue le premier pouvoir, permettant de défaire les ennemis les plus faibles et activer différents mécanismes, la peinture est son principal atout.
 Grâce à différentes couleurs, correspondant chacune à différentes propriétés physiques, le joueur peut coller son personnage sur les paroies, rebondir très haut, ou encore utiliser directement les peintures sur ses adversaires afin d’altérer leurs comportements !";"Windows";"";"http://www.splasher-game.com/";"https://www.youtube.com/watch?v=hw_ELmuAo0I";"http://files.intrazik.com/231/splashteam-screenshot-1-3133-493-20150426-200852.jpg";"http://files.intrazik.com/231/splashteam-screenshot-2-3371-493-20150426-200853.jpg";"http://files.intrazik.com/231/splashteam-screenshot-3-3373-493-20150426-200853.jpg";"http://files.intrazik.com/231/splashteam-jaquette-3375-493-20150426-200853.jpg";"Premier trimestre 2016";"Quelques affiches en 40x60 cm, des flyers.";"Pour nous l'idéal serait d'avoir 2 postes, donc :
 (x2) PC sous windows 7 (config mini préférable : Proc. 2.4GHz, 8 Go Ram, carte graph équivalent GForce GTX 760)
 (x2) Pad xbox 360 filaires
 (1x ou 2x) clavier + souris";"";"non";"2015-04-26 20:08:52";"";"";""
"RUFFLERIM";"Sélectionner";"Lije";"Rpg 2D. Un joueur. Ambiance mystère, médiévale et steampunk.";"Windows,OSX,Linux,Console";"";"http://www.rufflerim.com";"https://youtu.be/G7Wc38GfHMA";"http://files.intrazik.com/231/rufflerim-screenshot-1-3133-493-20150426-135434.png";"http://files.intrazik.com/231/rufflerim-screenshot-2-3371-493-20150426-135435.png";"http://files.intrazik.com/231/rufflerim-screenshot-3-3373-493-20150426-135435.png";"http://files.intrazik.com/231/rufflerim-jaquette-3375-493-20150426-135435.png";"01/10/2016";"Deux écrans
 Un ordinateur pour faire tourner le jeu
 Une manette
 Un casque
 Un autre ordinateur pour qu'un graphiste dessine sur le stand";"Rallonges pour atteindre l'électricité";"";"non";"2015-04-26 13:54:34";"";"";""
"ANTHONY BEYER";"J'ai compris";"Interference";"Interference est un jeu d'Aventure (mêlant Plateforme, Infiltration et Puzzles) en Solo dans un univers Cyberpunk.
 Les citoyens devenants trop couteux pour la société sont transférés au fur et à mesure sur des serveurs. Arriverez-vous à vous extirper de cette destinée ?";"Windows,OSX,Linux,Autre";"PS4 / PSVita";"Interference-game.com";"https://www.youtube.com/watch?v=A5eB5PUXTvA";"http://files.intrazik.com/231/anthony-beyer-screenshot-1-3133-493-20150424-193223.jpg";"http://files.intrazik.com/231/anthony-beyer-screenshot-2-3371-493-20150424-193224.jpg";"http://files.intrazik.com/231/anthony-beyer-screenshot-3-3373-493-20150424-193224.jpg";"http://files.intrazik.com/231/anthony-beyer-jaquette-3375-493-20150424-193224.jpg";"2016";"2 laptops (et peut être ordi de bureau) 2 ou 3 manettes XBOX360. 1 écran 117 cm et peut être 1 écran 82 cm.";"Tables hautes/comptoirs (2 si possibles, de quoi posé les 2 écrans (117cm + 82cm))";"";"non";"2015-04-24 19:32:23";"";"";""
"MORPHIKS";"J'ai compris";"Synchrom";"Synchrom
 sous-titre : Rhythm. Skill. Flow.
 Dans ce jeu musical mélangeant réflexes, anticipation et sens du rythme, vous contrôlez un Synchrom, mystérieux appareil capable de canaliser les impulsions de l’énergie lumineuse.
 • Gameplay minimaliste et intense
 • Design lumineux et explosif
 • Musique électro-alternative indé";"Windows,OSX,Linux,Android";"";"www.morphiks.com";"sur le site, mise à jour imminente";"http://files.intrazik.com/231/morphiks-screenshot-1-3133-493-20150424-164119.jpg";"http://files.intrazik.com/231/morphiks-screenshot-2-3371-493-20150424-164119.jpg";"http://files.intrazik.com/231/morphiks-screenshot-3-3373-493-20150424-164120.jpg";"http://files.intrazik.com/231/morphiks-jaquette-3375-493-20150424-164120.png";"prévue 01/06/2015";"1 écran, 1 télé, 1 kinect, 2 pc, 4 affiches.";"Tables, chaises";"";"non";"2015-04-24 16:41:19";"";"";""
"TCHAGATA GAMES";"J'ai compris";"Nandeyanen!? The 1st Sûtra";"Nandeyanen!? est un shoot’em up horizontal en 2D pour 1 joueur dans lequel le joueur prend le rôle de Tenguman, un ermite au long nez qui se réveille après un sommeil millénaire et voit le monde en proie à une armée de figures mythologiques. Avec un visuel et une narration en hommage à « Hanatakadaka !? », un jeu Nec Pc-Engine de 1991, le gameplay introduit des mécaniques de jeu comme le bullet counter et les blast pods. Nandeyanen!? a été entièrement financé par notre entêtement, notre naïveté, et notre amitié.";"Windows,Console";"";"www.tchagata.com";"https://www.youtube.com/watch?v=izn8ub0A67I";"http://files.intrazik.com/231/tchagata-games-screenshot-1-3133-493-20150423-175158.png";"http://files.intrazik.com/231/tchagata-games-screenshot-2-3371-493-20150423-175158.png";"http://files.intrazik.com/231/tchagata-games-screenshot-3-3373-493-20150423-175159.png";"http://files.intrazik.com/231/tchagata-games-jaquette-3375-493-20150423-175159.jpg";"27.08.2014";"Voir Formulaire d'inscription";"Voir Formulaire d'inscription";"";"non";"2015-04-23 17:51:58";"";"";""
"FLYING OAK GAMES";"J'ai compris";"Hoy!";"Dansez à la gloire de votre leader !
 Hoy! est un jeu de danse prenant place dans une dictature totalitaire communiste. Reproduisez les figures et criez ""Hoy!"" pour valider votre pose. Faites en maximum en moins d'une minute pour satisfaire votre leader, ou sinon...
 Hoy! paraîtra prochainement sur Xbox One dans l'anthologie Best Party ever.";"Console";"";"http://www.flying-oak.com/works/hoy/";"";"http://files.intrazik.com/231/flying-oak-games-screenshot-1-3133-493-20150423-164022.png";"http://files.intrazik.com/231/flying-oak-games-screenshot-2-3371-493-20150423-164023.jpg";"http://files.intrazik.com/231/flying-oak-games-screenshot-3-3373-493-20150423-164023.jpg";"http://files.intrazik.com/231/flying-oak-games-jaquette-3375-493-20150423-164023.pdf";"15/08/2015";"- une Xbox One
 - 4 manettes
 - un PC
 - des affiches A4";"- un moniteur/TV HDMI";"";"non";"2015-04-23 16:40:22";"";"";""
"SWING SWING SUBMARINE";"J'ai compris";"Tetrobot and Co.";"Tetrobot and Co. est un pur jeu de réflexion, créé par et pour des joueurs qui aiment faire travailler leurs neurones. Guidez Psychobot, un microscopique robot réparateur, dans les engrenages et les circuits de Tetrobot : en absorbant des blocs de matière et en les recrachant, vous pouvez tout remettre en place !
 Facile à prendre en main, Tetrobot and Co. peut être jouer par tous. Mais vous aurez besoin d'avoir un cerveau bien entrainé si vous voulez venir à bout de ses énigmes les plus retorses.";"Windows,OSX,Linux,iOS,Android,Console";"";"www.tetrobot.com";"https://www.youtube.com/watch?v=snQKXpnqkW8";"http://files.intrazik.com/231/swing-swing-submarine-screenshot-1-3133-493-20150423-112719.jpg";"http://files.intrazik.com/231/swing-swing-submarine-screenshot-2-3371-493-20150423-112719.jpg";"http://files.intrazik.com/231/swing-swing-submarine-screenshot-3-3373-493-20150423-112720.jpg";"http://files.intrazik.com/231/swing-swing-submarine-jaquette-3375-493-20150423-112720.jpg";"Octobre 2013 (PC) / Octobre 2014 (WiiU) / Avril 2015 (iOS, Android)";"- Un PC
 - Une manette (au cas où)";"- Grande TV tactile (47 ou 55 pouces)";"";"non";"2015-04-23 11:27:19";"";"";""
"SUBTLE GAMES";"J'ai compris";"Stormland";"Stormland est un jeu en navigateur mariant jeu de gestion et RPG. Tout en développant les aptitudes de votre personnage, vous pouvez aussi bien partir à l'aventure sur des terres mystérieuses et  hostiles que vous concentrer sur l'établissement d'un village et la gestion de ses habitants.
 Choisirez-vous de progresser parallèlement sur ces deux aspects complémentaires, ou de vous spécialiser dans votre domaine de prédilection et d'échanger vos services avec les autres joueurs ?";"Windows,OSX,Linux";"";"stormland.fr";"";"http://files.intrazik.com/231/subtle-games-screenshot-1-3133-493-20150422-112759.jpg";"http://files.intrazik.com/231/subtle-games-screenshot-2-3371-493-20150422-112800.jpg";"http://files.intrazik.com/231/subtle-games-screenshot-3-3373-493-20150422-112801.jpg";"";"30/09/2015";"Un PC avec un écran 24"", clavier, souris.";"";"";"non";"2015-04-22 11:27:59";"";"";""
"INSANE UNITY";"J'ai compris";"Win That War!";"Win That War! est un jeu de stratégie en temps réel massivement multijoueur  qui prend place dans un univers rétro-futur original, inspiré de la science-fiction des années 50. A termes plusieurs centaines de joueurs pourront interagir sur une même planète et se livrer bataille ou au contraire coopérer pour servir les objectifs stratégiques de leur corporation. Pendant le Stunfest, nous vous proposons de tester le mode multijoueur local de notre version Alpha 0.3, à plusieurs, ou seul contre l'IA. Construisez votre armée, gérer vos ressources, défendez votre base et que le plus grand stratège gagne.";"Windows";"";"www.winthatwar.com";"https://youtu.be/U_zfc2tdtx4";"http://files.intrazik.com/231/insane-unity-screenshot-1-3133-493-20150422-105927.png";"http://files.intrazik.com/231/insane-unity-screenshot-2-3371-493-20150422-105928.jpg";"http://files.intrazik.com/231/insane-unity-screenshot-3-3373-493-20150422-105928.jpg";"http://files.intrazik.com/231/insane-unity-jaquette-3375-493-20150422-105929.jpg";"fin 2016";"4 PC fixes (tours+écrans), 1 petit PLV (panneau), flyers et affiches.";"grille ou mur accessible pour les affiches, deux grandes tables face à face pour faire du 2v2, 4 chaises ou fauteuils minimum, idéalement un grand écran pour ajouter un mode spectateur lors des matchs.";"";"non";"2015-04-22 10:59:27";"";"";""
"4EDGESGAMES";"J'ai compris";"Lavapools";"Jeu d'esquive hardcore où l'on incarne un crabe. Jeu solo très difficile pour hardcore gamers, bien que très accessible.";"Windows";"";"http://lavapools.com";"https://www.youtube.com/watch?v=xLIjTCvMfKg";"http://files.intrazik.com/231/4edgesgames-screenshot-1-3133-493-20150420-191020.png";"";"";"";"30/05/2015";"3 pc, 3 écrans, 3 manettes";"tables, chaises";"";"non";"2015-04-20 19:10:19";"";"";""
"ALKEMI";"J'ai compris";"Drifting Lands";"Drifting Lands est un mix original de shoot'em'up horizontal classique avec les standards modernes du hack'n'slash, le descendant illégitime de Diablo et R-Type en quelque sorte. Drifting Lands est conçu pour satisfaire aussi bien les amateurs de shmups que de hack'n'slash. Le jeu propose un challenge très progressif que vous pourrez surmonter par votre seul Skill ou par une bonne sélection de compétences ainsi qu'une progression plus lente mais sûre de vos statistiques et équipements";"Windows,OSX";"";"www.drifting-lands.com";"https://www.youtube.com/watch?v=WOJML_CaevU";"http://files.intrazik.com/231/alkemi-screenshot-1-3133-493-20150420-190156.jpg";"http://files.intrazik.com/231/alkemi-screenshot-2-3371-493-20150420-190157.jpg";"http://files.intrazik.com/231/alkemi-screenshot-3-3373-493-20150420-190157.jpg";"http://files.intrazik.com/231/alkemi-jaquette-3375-493-20150420-190157.jpg";"fin 2015";"1 écran + 1 PC (clavier souris, cables, etc.) + 1 pad. S'il y a de la place pour 2 postes, on devrait pouvoir tout amener en double.
 Un Roll up de 1m x 2m (respectant les normes incendies)";"Un table / Bureau ou tout support pour la machine. De quoi s'asseoir pour au moins 2 personnes, si possible 3. Pas besoin de connexion internet.";"";"non";"2015-04-20 19:01:56";"";"";""
"GAMELIER";"Sélectionner";"biotic gaming";"jeu video sur la biologie et utilisant des organismes vivants!";"Windows,OSX,Linux,Android";"";"http://herocoli.com/";"";"http://files.intrazik.com/231/gamelier-screenshot-1-3133-493-20150420-173010.jpg";"";"";"";"";"Un ordinateur portable et une souris";"une table et des chaises, un ecran +21 pouces pour montrer le jeu au public";"";"non";"2015-04-20 17:30:10";"";"";""
